run_name,type,lambda_bt,n_dims_code,epoch,tr_vi_loss,tr_l1_error,tr_bce_error,te_vi_loss,te_l1_error,te_bce_error,arch_str,lr,q_sigma,n_mc_samples
221218_042500-VAEBT-2-[64]-10-lambda_0.0025,VAEBT,0.0025,2,200,0.33933703,0.21377185,0.32346088,0.34597072,0.21737447,0.33022359,[64],0.005,0.1,10
221218_044843-VAEBT-2-[128]-10-lambda_0.025,VAEBT,0.025,2,200,0.33020403,0.20546731,0.31311545,0.34739072,0.21228158,0.33052474,[128],0.005,0.1,10
221218_121328-VAE-2-[64]-10-lambda_0.0,VAE,0.0,2,200,0.3398505,0.21278162,0.32339922,0.34711878,0.21566813,0.33080882,[64],0.005,0.1,10
221218_044840-VAEBT-2-[128]-10-lambda_0.25,VAEBT,0.25,2,200,0.33137328,0.20625776,0.31420413,0.34871209,0.21334878,0.33179694,[128],0.005,0.1,10
221218_044900-VAEBT-2-[128]-10-lambda_0.00025,VAEBT,0.00025,2,200,0.33162384,0.20617397,0.3145417,0.34875744,0.21304668,0.3319065,[128],0.005,0.1,10
221218_044904-VAEBT-2-[128]-10-lambda_-0.00025,VAEBT,-0.00025,2,200,0.33264284,0.20671147,0.31546649,0.34970222,0.21363533,0.3327747,[128],0.005,0.1,10
221218_121328-VAE-2-[128]-10-lambda_0.0,VAE,0.0,2,200,0.33130603,0.20574869,0.31465194,0.34947047,0.21282159,0.33296281,[128],0.005,0.1,10
221218_044856-VAEBT-2-[128]-10-lambda_0.0025,VAEBT,0.0025,2,200,0.33364134,0.20620655,0.31653032,0.35015247,0.21282309,0.33328122,[128],0.005,0.1,10
221218_042446-VAEBT-2-[64]-10-lambda_0.25,VAEBT,0.25,2,200,0.34243625,0.21593331,0.326873,0.34956572,0.21929641,0.3341389,[64],0.005,0.1,10
221218_040017-VAEBT-2-[32]-10-lambda_0.00025,VAEBT,0.00025,2,200,0.35266125,0.22311078,0.33759406,0.35492753,0.22459866,0.33981118,[32],0.005,0.1,10
221218_040017-VAEBT-2-[32]-10-lambda_0.25,VAEBT,0.25,2,200,0.35268647,0.22313724,0.33770031,0.35492147,0.22451572,0.33988321,[32],0.005,0.1,10
221218_040017-VAEBT-2-[32]-10-lambda_0.025,VAEBT,0.025,2,200,0.35260153,0.22285204,0.33762345,0.3549815,0.22438572,0.33995336,[32],0.005,0.1,10
221218_040017-VAEBT-2-[32]-10-lambda_-0.00025,VAEBT,-0.00025,2,200,0.35289547,0.22318245,0.33778718,0.35514822,0.22462726,0.33998701,[32],0.005,0.1,10
221218_040017-VAEBT-2-[32]-10-lambda_0.0025,VAEBT,0.0025,2,200,0.35327481,0.22360781,0.33821556,0.35551381,0.22503306,0.34040311,[32],0.005,0.1,10
221218_121328-VAE-2-[32]-10-lambda_0.0,VAE,0.0,2,200,0.35175025,0.22250836,0.33677316,0.35608872,0.22506778,0.34116262,[32],0.005,0.1,10
221218_123457-VAE-128-[32]-10-lambda_0.0,VAE,0.0,128,200,0.48219306,0.32199606,0.48219162,0.48118931,0.32191452,0.48118788,[32],0.005,0.1,10
221218_073139-VAEBT-128-[32]-10-lambda_0.25,VAEBT,0.25,128,200,0.48218284,0.3217738,0.48217309,0.48122697,0.32171586,0.48121318,[32],0.005,0.1,10
221218_073351-VAEBT-128-[32]-10-lambda_0.025,VAEBT,0.025,128,200,0.48217947,0.3217718,0.48217332,0.48121997,0.32171381,0.48121336,[32],0.005,0.1,10
221218_073411-VAEBT-128-[32]-10-lambda_0.00025,VAEBT,0.00025,128,200,0.48217897,0.32177213,0.48217317,0.48121922,0.32171413,0.48121348,[32],0.005,0.1,10
221218_073420-VAEBT-128-[32]-10-lambda_-0.00025,VAEBT,-0.00025,128,200,0.482179,0.32176921,0.48217323,0.48121922,0.32171127,0.48121351,[32],0.005,0.1,10
221218_073408-VAEBT-128-[32]-10-lambda_0.0025,VAEBT,0.0025,128,200,0.482179,0.32176888,0.4821732,0.48121947,0.32171097,0.4812136,[32],0.005,0.1,10
